event_name,timestamp,parameters
open_position,125,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,126,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 14940563874, ""user_index"": 0}"
open_position,126,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,127,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 6569524340, ""user_index"": 0}"
open_position,127,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,128,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 5191607697956, ""user_index"": 0}"
open_position,128,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,129,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2166730192395, ""user_index"": 0}"
open_position,129,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,130,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 883588497652, ""user_index"": 0}"
open_position,130,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,131,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 356982601501, ""user_index"": 0}"
open_position,131,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,132,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 142768816838, ""user_index"": 0}"
open_position,132,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,133,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 56637458358, ""user_index"": 0}"
open_position,133,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
